cusip,name,indicator,type,issuedate,maturitydate,originalface,istbaelig
3618J7HY9,DE2047,C,SF,20241001,20541020,3845995,False
3618J7HZ6,DE2048,C,SF,20241001,20541020,9097642,False
3618J7H29,DE2049,C,SF,20241001,20541020,2966485,False
3618J7H37,DE2050,C,SF,20241001,20540920,1315735,False
3618J7H45,DE2051,C,SF,20241001,20541020,10104913,False
3618J7H52,DE2052,C,SF,20241001,20541020,36602838,False
3618J7H60,DE2053,C,SF,20241001,20541020,39061281,False
3618J7H78,DE2054,C,SF,20241001,20541020,1098846,False
3618J7H86,DE2055,C,SF,20241001,20541020,1036972,False
3618J7H94,DE2056,C,SF,20241001,20541020,5961863,False
3618J7JA9,DE2057,C,SF,20241001,20541020,2029767,False
3618J7JB7,DE2058,C,SF,20241001,20541020,1033176,False
3618J7JC5,DE2059,C,SF,20241001,20541020,1712546,False
3618J7JD3,DE2060,C,SF,20241001,20541020,1567149,False
3618J7JE1,DE2061,C,SF,20241001,20540920,1022698,False
3618J7JF8,DE2062,C,SF,20241001,20541020,1026512,False
3618J7JG6,DE2063,C,SF,20241001,20540920,1450698,False
3618J7JH4,DE2064,C,SF,20241001,20541020,15356602,False
3618J7JJ0,DE2065,C,SF,20241001,20541020,7162674,False
3618J7KJ8,DE2097,C,SF,20241001,20541020,1284603,False
3618J7KK5,DE2098,C,SF,20241001,20541020,10100498,False
3618J7KL3,DE2099,C,SF,20241001,20541020,8141388,False
3618J7KM1,DE2100,C,SF,20241001,20541020,10237407,False
3618J7KN9,DE2101,C,SF,20241001,20541020,5033147,False
3618J7KP4,DE2102,C,SF,20241001,20541020,7098349,False
3618J7KQ2,DE2103,C,SF,20241001,20541020,10177822,False
3618J7KR0,DE2104,C,SF,20241001,20541020,15180477,False
3618J7KS8,DE2105,C,SF,20241001,20541020,10121444,False
3618J7KT6,DE2106,C,SF,20241001,20541020,15320083,False
3618J7KU3,DE2107,C,SF,20241001,20541020,20451094,False
3618J7KV1,DE2108,C,SF,20241001,20541020,7107447,False
3618J7KW9,DE2109,C,SF,20241001,20541020,8007458,False
3618J7KX7,DE2110,C,SF,20241001,20541020,10212918,False
3618J7K25,DE2113,C,SF,20241001,20541020,10202072,False
3618J7K33,DE2114,C,SF,20241001,20541020,15220783,False
3618J7K41,DE2115,C,SF,20241001,20541020,10099252,False
3618J7K58,DE2116,C,SF,20241001,20541020,10002457,False
3618J7K66,DE2117,C,SF,20241001,20541020,12096562,False
3618J7K74,DE2118,C,SF,20241001,20541020,10161743,False
3618J7K82,DE2119,C,SF,20241001,20541020,10244994,False
3618J7K90,DE2120,C,SF,20241001,20541020,1389004,False
3618J7LA6,DE2121,C,SF,20241001,20541020,74951224,False
3618J73B4,DE2594,C,SF,20241001,20540920,1324806,False
3618J73C2,DE2595,C,SF,20241001,20540920,1802777,False
3618J73D0,DE2596,C,SF,20241001,20540920,1154698,False
3618J73E8,DE2597,C,SF,20241001,20540920,1266998,False
3618J73F5,DE2598,C,SF,20241001,20540920,1274203,False
3618J73G3,DE2599,C,SF,20241001,20540920,1102163,False
3618J73H1,DE2600,C,SF,20241001,20540920,1286371,False
3618J73L2,DE2603,C,SF,20241001,20540920,1030323,False
3618J73M0,DE2604,C,SF,20241001,20540920,1328467,False
3618J73N8,DE2605,C,SF,20241001,20540920,2136379,False
3618J73P3,DE2606,C,SF,20241001,20540920,1015302,False
