"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2024-05-01","'3138EJBX5'","MBS","UMBS MORTPASS 3% 06/27","15yr",,,,,"5975.27",,,,,,""
"2024-05-01","'31417W3R0'","MBS","UMBS MORTPASS 4.5% 02/25","15yr",,,,,"5953.52",,,,,,""
"2024-05-01","'3138EQE81'","MBS","UMBS MORTPASS 4% 05/29","15yr",,,,,"5945.84",,,,,,""
"2024-05-01","'31418CDL5'","MBS","UMBS MORTPASS 3% 11/46","30yr",,,,,"5945.62",,,,,,""
"2024-05-01","'3131XBLG2'","MBS","UMBS MORTPASS 3.5% 07/30","15yr",,,,,"5941.49",,,,,,""
"2024-05-01","'36202DWS6'","MBS","GNMA II MORTPASS 4% 02/33","30yr",,,,,"5918.38",,,,,,""
"2024-05-01","'3131WFBA8'","MBS","UMBS MORTPASS 6.5% 11/34","30yr",,,,,"5875.87",,,,,,""
"2024-05-01","'3131XAEA5'","MBS","UMBS MORTPASS 3% 02/29","15yr",,,,,"5872.43",,,,,,""
"2024-05-01","'36176QXS8'","MBS","GNMA I 3.5% 11/41","30yr",,,,,"5872.04",,,,,,""
"2024-05-01","'3131XTVC1'","MBS","UMBS MORTPASS 3.5% 12/45","30yr",,,,,"5863.51",,,,,,""
"2024-05-01","'3132A1WK6'","MBS","UMBS MORTPASS 6.5% 07/37","30yr",,,,,"5843.93",,,,,,""
"2024-05-01","'3131WJRL9'","MBS","UMBS MORTPASS 6.5% 04/37","30yr",,,,,"5838.39",,,,,,""
"2024-05-01","'3138WCG98'","MBS","UMBS MORTPASS 3.5% 07/24","Other",,,,,"5822.83",,,,,,""
"2024-05-01","'3138XK6S8'","MBS","UMBS MORTPASS 3.5% 06/44","30yr",,,,,"5818.54",,,,,,""
"2024-05-01","'3131XCRA7'","MBS","UMBS MORTPASS 2.5% 02/32","15yr",,,,,"5815.37",,,,,,""
"2024-05-01","'31329KC28'","MBS","UMBS MORTPASS 4% 04/25","Other",,,,,"5805.96",,,,,,""
"2024-05-01","'3138E7Y57'","MBS","UMBS MORTPASS 3% 02/27","15yr",,,,,"5802.88",,,,,,""
"2024-05-01","'36176HTH7'","MBS","GNMA I 3.5% 05/42","30yr",,,,,"5793.89",,,,,,""
"2024-05-01","'3138ENXC8'","MBS","UMBS MORTPASS 3.5% 11/29","15yr",,,,,"5789.47",,,,,,""
"2024-05-01","'3132A5DK8'","MBS","UMBS MORTPASS 3% 03/45","30yr",,,,,"5779.46",,,,,,""
"2024-05-01","'3132A7FQ9'","MBS","UMBS MORTPASS 4% 03/27","15yr",,,,,"5772.74",,,,,,""
"2024-05-01","'3140GQ5J1'","MBS","UMBS MORTPASS 2.5% 08/32","15yr",,,,,"5771.03",,,,,,""
"2024-05-01","'36200CSK2'","MBS","GNMA I MORTPASS 5% 03/33","30yr",,,,,"5769.70",,,,,,""
"2024-05-01","'36211RQT9'","MBS","GNMA I MORTPASS 5% 03/35","30yr",,,,,"5763.96",,,,,,""
"2024-05-01","'3131X5FL1'","MBS","UMBS MORTPASS 4% 11/24","15yr",,,,,"5761.49",,,,,,""
"2024-05-01","'3138WEBZ1'","MBS","UMBS MORTPASS 3.5% 03/45","30yr",,,,,"5751.62",,,,,,""
"2024-05-01","'36202XEG8'","MBS","GNMA I 5.5% 08/33","30yr",,,,,"5751.18",,,,,,""
"2024-05-01","'3140GXUG4'","MBS","UMBS MORTPASS 3% 11/47","30yr",,,,,"5734.45",,,,,,""
"2024-05-01","'36200NPV7'","MBS","GNMA I MORTPASS 6% 08/34","30yr",,,,,"5725.51",,,,,,""
"2024-05-01","'3620ALG40'","MBS","GNMA I MORTPASS 4% 06/41","30yr",,,,,"5724.45",,,,,,""
"2024-05-01","'31412VB80'","MBS","UMBS MORTPASS 4% 11/24","15yr",,,,,"5724.06",,,,,,""
"2024-05-01","'31371NSP1'","MBS","UMBS MORTPASS 6% 03/28","Other",,,,,"5699.98",,,,,,""
"2024-05-01","'3138WKRP2'","MBS","UMBS MORTPASS 2.5% 04/32","15yr",,,,,"5685.98",,,,,,""
"2024-05-01","'36290YXB9'","MBS","GNMA I MORTPASS 5% 11/33","30yr",,,,,"5657.70",,,,,,""
"2024-05-01","'36290UGK6'","MBS","GNMA I MORTPASS 6% 09/37","30yr",,,,,"5656.92",,,,,,""
"2024-05-01","'36177SKT5'","MBS","GNMA I MORTPASS 3% 07/42","30yr",,,,,"5654.09",,,,,,""
"2024-05-01","'36202DZE4'","MBS","GNMA II 4.5% 09/33","30yr",,,,,"5629.39",,,,,,""
"2024-05-01","'36296LL73'","MBS","GNMA I 4.5% 02/39","30yr",,,,,"5614.44",,,,,,""
"2024-05-01","'36297BAS0'","MBS","GNMA I 5.5% 09/39","30yr",,,,,"5597.74",,,,,,""
"2024-05-01","'3132ACRU6'","MBS","UMBS MORTPASS 4% 08/48","30yr",,,,,"5593.77",,,,,,""
"2024-05-01","'3140HLUW4'","MBS","UMBS MORTPASS 3.5% 07/48","30yr",,,,,"5593.29",,,,,,""
