36179X2M7, MA8880M, 286519446.00, 5, GNR 2023-064
36179X2M7, MA8880M, 40339388.00, 6, GNR 2023-064
36179X2N5, MA8881M, 50000000.00, 7, GNR 2023-064
3618AK5H9, CR5348C, 1730250.00, 8, GNR 2023-064
3618BCGL5, CT6503C, 8433717.00, 8, GNR 2023-064
3618BC3T2, CT7110C, 906732.00, 8, GNR 2023-064
3618BFC57, CT9092C, 2865209.00, 8, GNR 2023-064
3618BFC65, CT9093C, 1437198.00, 8, GNR 2023-064
3618BFC73, CT9094C, 1932154.00, 8, GNR 2023-064
3618BFC81, CT9095C, 836398.00, 8, GNR 2023-064
3618BFYU8, CT9723C, 1011706.00, 8, GNR 2023-064
3618BLSF5, CU3218C, 2362836.00, 8, GNR 2023-064
3618BMBV6, CU3652C, 960422.00, 8, GNR 2023-064
3618BMBW4, CU3653C, 961571.00, 8, GNR 2023-064
3618BM4H5, CU4424C, 1617909.00, 8, GNR 2023-064
3618BNSP9, CU5026C, 2006468.00, 8, GNR 2023-064
3618BQBF2, CU6338C, 3171756.00, 8, GNR 2023-064
3618BQBG0, CU6339C, 3269957.00, 8, GNR 2023-064
3618BQBK1, CU6342C, 3218498.00, 8, GNR 2023-064
3618BQB21, CU6357C, 3277219.00, 8, GNR 2023-064
3618AYM31, CS5778C, 30118.00, T, GNR 2023-064
36179XX76, MA8802M, 75153125.00, 1, GNR 2023-065
3618ASG80, CS0223C, 780959.00, 2, GNR 2023-065
3618BQCC8, CU6367C, 49041824.00, 2, GNR 2023-065
3618BQDX1, CU6418C, 44678427.00, 2, GNR 2023-065
3617FPWN2, CP0653C, 1286683.00, 3, GNR 2023-065
3617FYJA6, CP8357C, 935837.00, 3, GNR 2023-065
3618A06N9, CP9877C, 2026880.00, 3, GNR 2023-065
3618AJGX5, CR3814C, 1912139.00, 3, GNR 2023-065
3618AJ4V2, CR4436C, 2876080.00, 3, GNR 2023-065
3618AKPU8, CR4935C, 1048600.00, 3, GNR 2023-065
3618AKXE5, CR5177C, 1297745.00, 3, GNR 2023-065
3618AK4H0, CR5324C, 1651030.00, 3, GNR 2023-065
3618AK4J6, CR5325C, 3919794.00, 3, GNR 2023-065
3618ALA65, CR5429C, 2868561.00, 3, GNR 2023-065
3618ALA99, CR5432C, 2619413.00, 3, GNR 2023-065
3618AM6V3, CR7184C, 2112805.00, 3, GNR 2023-065
3618ATBS9, CS0949C, 1011241.00, 3, GNR 2023-065
3618ATBT7, CS0950C, 1184311.00, 3, GNR 2023-065
3618AXWD0, CS5144C, 1036575.00, 3, GNR 2023-065
3618AYXX3, CS6094C, 1024061.00, 3, GNR 2023-065
3618B0XB4, CS6974C, 1592300.00, 3, GNR 2023-065
3618B0YZ0, CS7028C, 1317750.00, 3, GNR 2023-065
3618B1NS6, CS7601C, 9235658.00, 3, GNR 2023-065
3618B2MC0, CS8455C, 2797702.00, 3, GNR 2023-065
3618B23V9, CS8912C, 1528492.00, 3, GNR 2023-065
3618B3RT6, CS9498C, 1004608.00, 3, GNR 2023-065
3618B3RU3, CS9499C, 1178293.00, 3, GNR 2023-065
3618BAQS3, CT4965C, 1413210.00, 3, GNR 2023-065
3618BAQV6, CT4968C, 1340427.00, 3, GNR 2023-065
3618BB4K2, CT6226C, 2530129.00, 3, GNR 2023-065
3618BDAZ8, CT7224C, 14846342.00, 3, GNR 2023-065
3618BDDM4, CT7308C, 9816721.00, 3, GNR 2023-065
3618BDDN2, CT7309C, 19331703.00, 3, GNR 2023-065
3618BEK28, CT8413C, 10925350.00, 3, GNR 2023-065
3618BFB66, CT9061C, 3128873.00, 3, GNR 2023-065
3618BFB74, CT9062C, 1276101.00, 3, GNR 2023-065
3618BF6N5, CT9877C, 1636591.00, 3, GNR 2023-065
3618BH4Y9, CU0839C, 3130727.00, 3, GNR 2023-065
3618BLX85, CU3403C, 1750491.00, 3, GNR 2023-065
3618BQBE5, CU6337C, 11869795.00, 3, GNR 2023-065
3618BQCH7, CU6372C, 9795770.00, 3, GNR 2023-065
